date,revenue
2022-09-29,47199.08
2022-09-30,51123.01
2022-10-01,48412.01
2022-10-02,24865.81
2022-10-03,22359.82
2022-10-04,60184.86
2022-10-05,33774.21
2022-10-06,359926.79
2022-10-07,58561.16
2022-10-08,39689.92
2022-10-09,16086.61
2022-10-10,14432.02
2022-10-11,28391.07
2022-10-12,31592.12
2022-10-13,295123.17
2022-10-14,55747.15
2022-10-15,34935.00
2022-10-16,335085.54
2022-10-17,16498.07
2022-10-18,33852.65
2022-10-19,40184.35
2022-10-20,46040.93
2022-10-21,32352.68
2022-10-22,303031.45
2022-10-23,431447.17
2022-10-24,170268.55
2022-10-25,42611.22
2022-10-26,60702.02
2022-10-27,58947.37
2022-10-28,322256.95
2022-10-29,41631.64
2022-10-30,514913.58
2022-10-31,31468.37
2022-11-01,296956.11
2022-11-02,38934.18
2022-11-03,46637.53
2022-11-04,47595.56
2022-11-05,238491.93
2022-11-06,194396.72
2022-11-07,311844.37
2022-11-08,54078.83
2022-11-09,229280.64
2022-11-10,289107.24
2022-11-11,577214.71
2022-11-12,133944.78
2022-11-13,204866.79
2022-11-14,66991.40
2022-11-15,106908.70
2022-11-16,83152.15
2022-11-17,226887.19
2022-11-18,315974.70
2022-11-19,411147.47
2022-11-20,77675.32
2022-11-21,183827.81
2022-11-22,334351.50
2022-11-23,564887.47
2022-11-24,99347.33
2022-11-25,118603.66
2022-11-26,268711.59
2022-11-27,243700.29
2022-11-28,462183.81
2022-11-29,139480.16
2022-11-30,277507.82
2022-12-01,99882.86
2022-12-02,451352.35
2022-12-03,35624.91
2022-12-04,189852.32
2022-12-05,152132.68
2022-12-06,78324.24
2022-12-07,153729.34
2022-12-08,218623.42
2022-12-09,98346.07
2022-12-10,322442.18
2022-12-11,52868.68
2022-12-12,180082.78
2022-12-13,477075.47
2022-12-14,404739.84
2022-12-15,214113.23
2022-12-16,353545.27
2022-12-17,212762.48
2022-12-18,127299.94
2022-12-19,123833.90
2022-12-20,291049.07
2022-12-21,185790.54
2022-12-22,86581.10
2022-12-23,104860.23
2022-12-24,259959.05
2022-12-25,13724.32
2022-12-26,101834.68
2022-12-27,89790.96
2022-12-28,175536.24
2022-12-29,328765.71
2022-12-30,61370.82
2022-12-31,102546.29
2023-01-01,228905.02
2023-01-02,97961.51
2023-01-03,16764.20
2023-01-04,27421.80
2023-01-05,295003.30
2023-01-06,148320.26
2023-01-07,262158.61
2023-01-08,48436.23
2023-01-09,285485.21
2023-01-10,49613.30
2023-01-11,354856.08
2023-01-12,527918.03
2023-01-13,59829.25
2023-01-14,57165.53
2023-01-15,72806.59
2023-01-16,72937.19
2023-01-17,64970.50
2023-01-18,63195.66
2023-01-19,79829.69
2023-01-20,61004.07
2023-01-21,55683.48
2023-01-22,65384.29
2023-01-23,59086.64
2023-01-24,84774.71
2023-01-25,83622.65
2023-01-26,83588.54
2023-01-27,68957.04
2023-01-28,58086.20
2023-01-29,48592.19
2023-01-30,25826.35
2023-01-31,41174.64
2023-02-01,53272.11
2023-02-02,54136.97
2023-02-03,62462.51
2023-02-04,71236.26
2023-02-05,33216.86
2023-02-06,39702.70
2023-02-07,49248.91
2023-02-08,66437.32
2023-02-09,69299.72
2023-02-10,85019.49
2023-02-11,63921.45
2023-02-12,35926.78
2023-02-13,31916.63
2023-02-14,141574.08
2023-02-15,63163.00
2023-02-16,55739.98
2023-02-17,77769.34
2023-02-18,52224.36
2023-02-19,41126.82
2023-02-20,35777.74
2023-02-21,45068.15
2023-02-22,43688.12
2023-02-23,42871.69
2023-02-24,43099.56
2023-02-25,43448.98
2023-02-26,30702.33
2023-02-27,24086.40
2023-02-28,38458.23
2023-03-01,39164.45
2023-03-02,36119.30
2023-03-03,45577.48
2023-03-04,47216.19
2023-03-05,21287.63
2023-03-06,23967.87
2023-03-07,31493.43
2023-03-08,54439.02
2023-03-09,30721.07
2023-03-10,47024.25
2023-03-11,175329.59
2023-03-12,445693.24
2023-03-13,269462.70
