date,treasury
2022-01-28,362535029.14
2022-01-29,370227182.32
2022-01-30,398903820.73
2022-01-31,407271225.59
2022-02-01,432030080.97
2022-02-02,385047398.70
2022-02-03,385235715.88
2022-02-04,423065782.14
2022-02-05,427649032.57
2022-02-06,419222382.78
2022-02-07,441252585.51
2022-02-08,424391657.63
2022-02-09,436459347.59
2022-02-10,396107239.38
2022-02-11,357441590.08
2022-02-12,357938712.27
2022-02-13,339757431.84
2022-02-14,357442309.04
2022-02-15,393727146.93
2022-02-16,395550293.15
2022-02-17,362902454.78
2022-02-18,346646391.74
2022-02-19,345600858.71
2022-02-20,317113421.53
2022-02-21,291875045.22
2022-02-22,295753941.71
2022-02-23,285516307.14
2022-02-24,276142020.79
2022-02-25,294150760.43
2022-02-26,294441562.21
2022-02-27,271183095.19
2022-02-28,300876006.39
2022-03-01,314745545.40
2022-03-02,327796308.95
2022-03-03,312678671.03
2022-03-04,278654660.60
2022-03-05,277603857.38
2022-03-06,255165067.23
2022-03-07,245209024.58
2022-03-08,251278801.59
2022-03-09,266473484.26
2022-03-10,253246804.68
2022-03-11,244065563.71
2022-03-12,246127384.60
2022-03-13,237096431.90
2022-03-14,241497553.31
2022-03-15,241640989.38
2022-03-16,257237622.29
2022-03-17,264154311.36
2022-03-18,277082024.98
2022-03-19,281500951.73
2022-03-20,266374316.69
2022-03-21,271065311.62
2022-03-22,279491059.08
2022-03-23,295145800.64
2022-03-24,296855436.72
2022-03-25,281781910.55
2022-03-26,297395090.24
2022-03-27,322717516.15
2022-03-28,319693699.16
2022-03-29,346838368.28
2022-03-30,349637512.51
2022-03-31,325411894.54
2022-04-01,348306908.43
2022-04-02,357940630.76
2022-04-03,367355877.41
2022-04-04,358671381.79
2022-04-05,349644395.35
2022-04-06,311391693.77
2022-04-07,309745412.09
2022-04-08,290389210.37
2022-04-09,307393695.61
2022-04-10,299610846.73
2022-04-11,267993420.27
2022-04-12,273658246.91
2022-04-13,283751969.96
2022-04-14,275325955.77
2022-04-15,274899941.68
2022-04-16,276512125.80
2022-04-17,271613302.89
2022-04-18,270920479.42
2022-04-19,285191190.37
2022-04-20,288895960.75
2022-04-21,273027971.48
2022-04-22,307145422.28
2022-04-23,331978508.46
2022-04-24,334328813.75
2022-04-25,339201161.21
2022-04-26,294982146.74
2022-04-27,308329630.46
2022-04-28,297895399.74
2022-04-29,277173632.04
2022-04-30,245698706.47
2022-05-01,256256539.95
2022-05-02,261393679.33
2022-05-03,266741262.41
2022-05-04,322429067.84
2022-05-05,304137069.49
2022-05-06,285682972.47
2022-05-07,277273271.93
2022-05-08,291617085.37
2022-05-09,237884663.96
2022-05-10,244369845.39
2022-05-11,184916511.52
2022-05-12,160630688.35
2022-05-13,163474901.53
2022-05-14,175356339.81
2022-05-15,185755019.74
2022-05-16,169422563.34
2022-05-17,171864550.52
2022-05-18,151165622.73
2022-05-19,133674109.26
2022-05-20,140969157.60
2022-05-21,149700164.46
2022-05-22,159541518.72
2022-05-23,160172795.56
2022-05-24,154643954.49
2022-05-25,152268532.97
2022-05-26,148801108.13
2022-05-27,144631934.35
2022-05-28,152124391.98
2022-05-29,155482768.69
2022-05-30,171677502.53
2022-05-31,171100471.16
2022-06-01,156981876.68
2022-06-02,154449050.36
2022-06-03,145217923.39
2022-06-04,146013940.57
2022-06-05,149183625.13
2022-06-06,158199609.82
2022-06-07,147186681.70
2022-06-08,143533753.19
2022-06-09,141402091.56
2022-06-10,125992801.57
2022-06-11,112704509.16
2022-06-12,106643121.52
2022-06-13,88368253.09
2022-06-14,90407357.58
2022-06-15,94870938.84
2022-06-16,81583199.32
2022-06-17,82437793.37
2022-06-18,72583421.69
2022-06-19,80010222.47
2022-06-20,87295492.21
2022-06-21,90081213.08
2022-06-22,86789147.48
2022-06-23,102778704.98
2022-06-24,105234336.58
2022-06-25,102053460.15
2022-06-26,93221374.77
2022-06-27,90955805.36
2022-06-28,86081407.87
2022-06-29,87138826.03
2022-06-30,85593950.19
2022-07-01,93020047.82
2022-07-02,97008328.20
2022-07-03,98432814.91
2022-07-04,107363132.75
2022-07-05,119209324.37
2022-07-06,119598132.45
2022-07-07,130074361.97
2022-07-08,124573806.14
2022-07-09,126506007.64
2022-07-10,118471827.41
2022-07-11,109904173.81
2022-07-12,109039963.46
2022-07-13,130593568.62
2022-07-14,145401107.03
2022-07-15,136399947.73
2022-07-16,146001732.72
2022-07-17,134558838.37
2022-07-18,166884324.31
2022-07-19,153663020.56
2022-07-20,144287564.94
2022-07-21,173523238.93
2022-07-22,178373223.99
2022-07-23,173159730.70
2022-07-24,169833054.58
2022-07-25,146644849.61
2022-07-26,145235874.06
2022-07-27,163967428.35
2022-07-28,191153837.50
2022-07-29,177801519.06
2022-07-30,168156163.46
2022-07-31,164640854.31
2022-08-01,160991135.75
2022-08-02,166086510.63
2022-08-03,165008463.62
2022-08-04,164256198.02
