date,trading_volume
2022-06-07,542272416.04
2022-06-08,509244566.58
2022-06-09,277075977.31
2022-06-10,691907811.91
2022-06-11,538420046.54
2022-06-12,438320784.54
2022-06-13,1916544007.00
2022-06-14,1303100087.48
2022-06-15,1174486172.05
2022-06-16,1416543660.81
2022-06-17,703238683.47
2022-06-18,1019904075.28
2022-06-19,909271114.43
2022-06-20,645860294.73
2022-06-21,561081668.74
2022-06-22,390617685.98
2022-06-23,521107938.14
2022-06-24,596539343.85
2022-06-25,300234008.91
2022-06-26,303118576.58
2022-06-27,300252049.84
2022-06-28,419963779.23
2022-06-29,576855451.59
2022-06-30,432633893.55
2022-07-01,537367890.13
2022-07-02,255763315.36
2022-07-03,159480648.20
2022-07-04,364432431.69
2022-07-05,359875394.42
2022-07-06,404884764.05
2022-07-07,262688124.30
2022-07-08,258387916.90
2022-07-09,128937271.20
2022-07-10,133045392.34
2022-07-11,149470979.41
2022-07-12,275995326.79
2022-07-13,296328415.63
2022-07-14,294910678.37
2022-07-15,438510769.15
2022-07-16,318509542.81
2022-07-17,342494379.98
2022-07-18,456325246.96
2022-07-19,542383864.88
2022-07-20,459845514.35
2022-07-21,323309315.14
2022-07-22,350894989.44
2022-07-23,215469229.28
2022-07-24,203119924.51
2022-07-25,269935039.58
2022-07-26,260875018.49
2022-07-27,353320699.76
2022-07-28,460967356.60
2022-07-29,276539468.80
2022-07-30,217404295.91
2022-07-31,166832456.34
2022-08-01,276651697.68
2022-08-02,290019050.31
2022-08-03,180690294.75
2022-08-04,192756488.73
2022-08-05,215942023.77
2022-08-06,105386401.19
2022-08-07,93976225.00
2022-08-08,201239263.00
2022-08-09,218850606.84
2022-08-10,273680423.26
2022-08-11,306316541.51
2022-08-12,204972728.64
2022-08-13,178114645.69
2022-08-14,130474698.75
2022-08-15,262639960.16
2022-08-16,362790421.50
2022-08-17,217856100.59
2022-08-18,163097909.55
2022-08-19,304501889.52
2022-08-20,185984272.25
2022-08-21,272866641.81
2022-08-22,235819886.49
2022-08-23,309740530.72
2022-08-24,245040841.63
2022-08-25,250085347.69
2022-08-26,244497748.74
2022-08-27,89415383.74
2022-08-28,187196264.26
2022-08-29,205831737.10
2022-08-30,189437473.75
2022-08-31,205335574.84
2022-09-01,179087018.71
2022-09-02,152367145.75
2022-09-03,275487761.61
2022-09-04,269424184.02
2022-09-05,204402712.35
2022-09-06,266282219.07
2022-09-07,230205507.82
2022-09-08,172867397.20
2022-09-09,220436944.22
2022-09-10,148318260.07
2022-09-11,156469010.04
2022-09-12,241284957.21
2022-09-13,264776902.61
2022-09-14,325252705.80
2022-09-15,336802572.62
2022-09-16,210009707.53
2022-09-17,109250328.05
2022-09-18,159557590.24
2022-09-19,183828924.59
2022-09-20,199986241.11
2022-09-21,210423011.46
2022-09-22,179590224.17
2022-09-23,185981551.34
2022-09-24,125644157.40
2022-09-25,99951683.13
2022-09-26,163726353.14
2022-09-27,211814257.59
2022-09-28,181300029.39
2022-09-29,206560921.96
2022-09-30,185889829.68
2022-10-01,115771750.08
2022-10-02,76316976.51
2022-10-03,276437260.07
2022-10-04,135545285.04
2022-10-05,153797681.22
2022-10-06,221270605.12
2022-10-07,226321583.91
2022-10-08,63046512.39
2022-10-09,69727120.65
2022-10-10,117994611.87
2022-10-11,168644835.31
2022-10-12,122154590.51
2022-10-13,188817452.91
2022-10-14,107850967.72
2022-10-15,52996509.57
2022-10-16,61050500.64
2022-10-17,170972774.46
2022-10-18,136083490.63
2022-10-19,146016829.72
2022-10-20,86899561.23
2022-10-21,188179606.24
2022-10-22,60172326.63
2022-10-23,140058783.72
2022-10-24,118670823.79
2022-10-25,250824365.92
2022-10-26,205365704.77
2022-10-27,178986076.37
2022-10-28,109760976.36
2022-10-29,110803150.39
2022-10-30,153552261.92
2022-10-31,252002997.17
2022-11-01,151113260.47
2022-11-02,198021698.41
2022-11-03,176952950.04
2022-11-04,183568383.61
2022-11-05,110167187.22
2022-11-06,103502064.59
2022-11-07,203168151.59
2022-11-08,840709152.75
2022-11-09,1531247630.69
2022-11-10,3475763308.76
2022-11-11,885010920.01
2022-11-12,712646329.46
2022-11-13,439581352.86
2022-11-14,518145370.12
2022-11-15,482099975.00
2022-11-16,354093733.46
2022-11-17,304313364.27
2022-11-18,321144661.00
2022-11-19,241871246.27
2022-11-20,386320820.82
2022-11-21,523473569.16
2022-11-22,692619694.24
2022-11-23,658086460.66
2022-11-24,744271254.51
2022-11-25,363362851.33
2022-11-26,341380909.81
2022-11-27,284442976.89
2022-11-28,399511353.93
2022-11-29,320955841.31
2022-11-30,229720823.66
2022-12-01,222888314.06
2022-12-02,146609813.03
2022-12-03,55016279.99
2022-12-04,74929958.41
2022-12-05,110035919.03
2022-12-06,126578750.12
2022-12-07,157669932.93
2022-12-08,119366996.37
2022-12-09,88243176.70
2022-12-10,39555919.69
2022-12-11,173635975.90
2022-12-12,179702261.80
2022-12-13,282893760.56
2022-12-14,218311415.20
2022-12-15,818479923.98
2022-12-16,134178743.26
2022-12-17,147270587.15
2022-12-18,81977787.82
2022-12-19,168669590.79
2022-12-20,222266602.02
2022-12-21,228214326.38
2022-12-22,153011080.92
2022-12-23,217172470.31
2022-12-24,173174135.48
2022-12-25,195920816.63
2022-12-26,194331207.05
2022-12-27,167006310.11
2022-12-28,424239812.97
2022-12-29,262713791.96
2022-12-30,300780281.29
2022-12-31,221653485.61
2023-01-01,79128942.73
2023-01-02,79092041.04
2023-01-03,207888247.62
2023-01-04,226214993.96
2023-01-05,286311694.71
2023-01-06,275114423.84
2023-01-07,181846161.43
2023-01-08,150212440.35
2023-01-09,292864640.09
2023-01-10,218560662.05
