date,pool_transaction_volume
2023-05-07,21047733.7
2023-05-08,11021103.475
2023-05-09,7460580.38
2023-05-10,27863658.67
2023-05-11,23063334.13
2023-05-12,19095116.565
2023-05-13,7151105.48
2023-05-14,9357613.575
2023-05-15,9355920.4
2023-05-16,33828819.975
2023-05-17,11821791.745
2023-05-18,12767629.855
2023-05-19,25374014.315
2023-05-20,17311864.735
2023-05-21,7909643.68
2023-05-22,18526570.03
2023-05-23,22799345.17
2023-05-24,11786657.815
2023-05-25,14491141.985
2023-05-26,12351708.21
2023-05-27,10428016.635
2023-05-28,13180283.52
2023-05-29,16979142.435
2023-05-30,29999551.16
2023-05-31,12420358.705
2023-06-01,17997658.09
2023-06-02,14390312.25
2023-06-03,12646100.46
2023-06-04,13337952.65
2023-06-05,10401711.375
2023-06-06,17310910.09
2023-06-07,36307689.4
2023-06-08,29988793.355
2023-06-09,14901682.59
2023-06-10,32437035.705
2023-06-11,40383290.685
2023-06-12,51153999.675
2023-06-13,28525439.16
2023-06-14,52189970.265
2023-06-15,22276205.52
2023-06-16,9922469.75
2023-06-17,3673914.115
2023-06-18,4924729.515
2023-06-19,48184353.67
2023-06-20,24070292.61
2023-06-21,12628822.43
2023-06-22,24704739.57
2023-06-23,43848224.725
2023-06-24,30027403.685
2023-06-25,17959011.05
2023-06-26,32166274.675
2023-06-27,18259721.24
2023-06-28,17426223.77
2023-06-29,23653135.055
2023-06-30,16600236.165
2023-07-01,4458364.285
2023-07-02,16736009.235
2023-07-03,25525308.075
2023-07-04,18394566.525
2023-07-05,3602734.435
2023-07-06,11760833.375
2023-07-07,5389992.64
2023-07-08,3436499.49
2023-07-09,15985930.115
2023-07-10,16518908.955
2023-07-11,16939971.86
2023-07-12,13231855.07
2023-07-13,11079833.825
2023-07-14,7064453.48
2023-07-15,5547615.17
2023-07-16,13168509.085
2023-07-17,26870732.82
2023-07-18,18036271.74
2023-07-19,11558679
2023-07-20,6333685.445
2023-07-21,12145852.09
2023-07-22,8646406.08
2023-07-23,6753270.26
2023-07-24,6370051.055
2023-07-25,3732321.745
2023-07-26,17354581.21
2023-07-27,8734697.06
2023-07-28,3356331.06
2023-07-29,12605841.905
2023-07-30,15133847.84
2023-07-31,28404714.665
2023-08-01,21916403
2023-08-02,9484185.215
2023-08-03,10052750.97
2023-08-04,8562830.28
2023-08-05,539442.4
2023-08-06,4660023.96
2023-08-07,7672927.05
2023-08-08,3479171.945
2023-08-09,5914855.23
2023-08-10,6475320.16
2023-08-11,4647118.16
2023-08-12,4659787.405
2023-08-13,4411444.315
2023-08-14,3653951.12
2023-08-15,6937417.11
2023-08-16,9466676.355
2023-08-17,14390008.9
2023-08-18,26509131.195
2023-08-19,18671042.645
2023-08-20,12064875.465
2023-08-21,11243043.1
2023-08-22,17975261.135
2023-08-23,5453591.325
2023-08-24,3753444.765
2023-08-25,11080519.675
2023-08-26,7565486.775
2023-08-27,9922394.77
2023-08-28,10381565.735
2023-08-29,7621570.2
2023-08-30,7897001.455
2023-08-31,7450224.285
2023-09-01,3597053.245
2023-09-02,15190774.38
2023-09-03,12020849.13
2023-09-04,10688045.305
2023-09-05,8899233.625
2023-09-06,11055508.285
2023-09-07,7886862.06
2023-09-08,2258090.37
2023-09-09,2640863.55
2023-09-10,2694130.285
2023-09-11,4182375.535
2023-09-12,16593768.1
2023-09-13,20231271.375
2023-09-14,9780060.66
2023-09-15,7417392.105
2023-09-16,9098271.315
2023-09-17,10253741.32
2023-09-18,10727090.26
2023-09-19,10340804.705
2023-09-20,17396178.44
2023-09-21,4345095.265
2023-09-22,9128497.245
2023-09-23,8907528.82
2023-09-24,13026116.535
2023-09-25,12448314.565
2023-09-26,10028088.555
2023-09-27,5715281.525
2023-09-28,3796253.825
2023-09-29,2314411.76
2023-09-30,886910.245
2023-10-01,2497339.835
2023-10-02,4809284.315
2023-10-03,2153860.115
2023-10-04,3256312.325
2023-10-05,4523772.2
2023-10-06,8349263.78
2023-10-07,3821955.94
2023-10-08,16876609.345
2023-10-09,18253978.92
2023-10-10,7549954.23
2023-10-11,5034394.24
2023-10-12,3759444.285
2023-10-13,10192641.645
2023-10-14,4538915.715
2023-10-15,6730519.395
2023-10-16,15238015.07
2023-10-17,6223138.675
2023-10-18,8334379.315
2023-10-19,5911088.21
2023-10-20,14293874.975
2023-10-21,8768139.12
2023-10-22,12309465.85
2023-10-23,15022955.895
2023-10-24,33636078
2023-10-25,35864456.665
2023-10-26,15957788.5
2023-10-27,7663893.705
2023-10-28,10718794.73
2023-10-29,9828419.66
2023-10-30,7146594.13
2023-10-31,12741117.615
2023-11-01,9389727.395
2023-11-02,15517028.97
2023-11-03,9933763.62
2023-11-04,3534559.4
2023-11-05,9493235.34
2023-11-06,10542504.115
2023-11-07,13198424.365
2023-11-08,20405215.6
2023-11-09,23735232.13
2023-11-10,32279083.93
2023-11-11,17606609.935
2023-11-12,17412469.08
2023-11-13,19338961.63
2023-11-14,15967437.17
2023-11-15,23895940.485
2023-11-16,26396634.155
2023-11-17,21079182.565
2023-11-18,14810887.685
2023-11-19,12544758.695
2023-11-20,11884752.845
2023-11-21,5468139.635
