date,token_incentives
2022-05-29,748727.30
2022-05-30,882706.91
2022-05-31,787767.59
2022-06-01,741178.69
2022-06-02,1155100.04
2022-06-03,636262.81
2022-06-04,690334.07
2022-06-05,681352.98
2022-06-06,746280.62
2022-06-07,741419.56
2022-06-08,645080.21
2022-06-09,967651.30
2022-06-10,594418.45
2022-06-11,511001.53
2022-06-12,507835.48
2022-06-13,416965.20
2022-06-14,426394.20
2022-06-15,444023.31
2022-06-16,589573.95
2022-06-17,395333.79
2022-06-18,344317.00
2022-06-19,383034.10
2022-06-20,502762.41
2022-06-21,398048.63
2022-06-22,420644.98
2022-06-23,692395.07
2022-06-24,474836.55
2022-06-25,458899.61
2022-06-26,432392.68
2022-06-27,420764.06
2022-06-28,489557.79
2022-06-29,408217.72
2022-06-30,558666.13
2022-07-01,465959.48
2022-07-02,527343.56
2022-07-03,471168.91
2022-07-04,521421.09
2022-07-05,571273.27
2022-07-06,565702.33
2022-07-07,890766.32
2022-07-08,577330.84
2022-07-09,586202.28
2022-07-10,566722.47
2022-07-11,508164.02
2022-07-12,514457.89
2022-07-13,611528.21
2022-07-14,676407.65
2022-07-15,1041266.30
2022-07-16,700568.83
2022-07-17,647425.05
2022-07-18,781325.02
2022-07-19,728872.87
2022-07-20,740735.41
2022-07-21,1181291.94
2022-07-22,862728.45
2022-07-23,827591.94
2022-07-24,800641.01
2022-07-25,680661.37
2022-07-26,695876.34
2022-07-27,817114.31
2022-07-28,1300650.92
2022-07-29,890320.04
2022-07-30,797716.21
2022-07-31,771325.61
2022-08-01,746039.78
2022-08-02,789967.86
2022-08-03,779108.22
2022-08-04,1117942.23
2022-08-05,842777.33
2022-08-06,815308.06
2022-08-07,826821.91
2022-08-08,834489.10
2022-08-09,840123.28
2022-08-10,779456.78
2022-08-11,1173969.14
2022-08-12,834756.19
2022-08-13,853176.68
2022-08-14,671376.11
2022-08-15,647636.27
2022-08-16,641868.52
2022-08-17,602542.59
2022-08-18,856276.54
2022-08-19,509357.00
2022-08-20,503271.14
2022-08-21,505221.08
2022-08-22,524512.85
2022-08-23,609505.20
2022-08-24,580619.57
2022-08-25,840957.12
2022-08-26,500467.74
2022-08-27,533774.77
2022-08-28,467558.46
2022-08-29,527260.91
2022-08-30,534303.29
2022-08-31,555264.05
2022-09-01,834714.70
2022-09-02,615915.27
2022-09-03,525527.47
2022-09-04,533108.47
2022-09-05,560965.63
2022-09-06,503476.37
2022-09-07,598744.04
2022-09-08,817950.60
2022-09-09,607725.18
2022-09-10,623027.30
2022-09-11,593156.02
2022-09-12,554269.28
2022-09-13,517733.43
2022-09-14,541160.82
2022-09-15,741131.89
2022-09-16,524445.36
