date,market_cap_fully_diluted
2022-02-05,11342227609.63
2022-02-06,11342640795.04
2022-02-07,11169793612.22
2022-02-08,11838635757.49
2022-02-09,11340452112.18
2022-02-10,11590341364.89
2022-02-11,10583398224.11
2022-02-12,9542153384.71
2022-02-13,9455030176.86
2022-02-14,9119680461.26
2022-02-15,9584619912.90
2022-02-16,10470470038.19
2022-02-17,10542874697.36
2022-02-18,9615144226.95
2022-02-19,9290212241.18
2022-02-20,9269277977.99
2022-02-21,8440848602.34
2022-02-22,7735342492.23
2022-02-23,7931335623.42
2022-02-24,7592266506.36
2022-02-25,7411785507.01
2022-02-26,7762228389.87
2022-02-27,7850096658.23
2022-02-28,7241749887.06
2022-03-01,8041750613.37
2022-03-02,8403514422.07
2022-03-03,8721543007.57
2022-03-04,8282679065.45
2022-03-05,7426538964.00
2022-03-06,7418817453.45
2022-03-07,6820191675.69
2022-03-08,6575638252.53
2022-03-09,6715871502.02
2022-03-10,7130101705.63
2022-03-11,6756615138.67
2022-03-12,6512217959.08
2022-03-13,6557953651.65
2022-03-14,6355745846.95
2022-03-15,6449502489.75
2022-03-16,6451756759.59
2022-03-17,6914345857.99
2022-03-18,7023106259.15
2022-03-19,7416878078.67
2022-03-20,7541957696.00
2022-03-21,7088347986.72
2022-03-22,7267690244.61
2022-03-23,7482051999.19
2022-03-24,7865346197.30
2022-03-25,7857352966.19
2022-03-26,7540938000.33
2022-03-27,7943573172.27
2022-03-28,8611989118.27
2022-03-29,8496924947.58
2022-03-30,9284597993.02
2022-03-31,9291208130.32
2022-04-01,8684279144.46
2022-04-02,9247987593.37
2022-04-03,9523487740.51
2022-04-04,9727539356.51
2022-04-05,9606044661.51
2022-04-06,9287148033.52
2022-04-07,8260318788.24
2022-04-08,8405051207.70
2022-04-09,7740915701.83
2022-04-10,8169378644.75
2022-04-11,7989992328.21
2022-04-12,7151847119.56
2022-04-13,7355525336.07
2022-04-14,7585890302.19
2022-04-15,7364194601.35
2022-04-16,7351783845.56
2022-04-17,7394484881.85
2022-04-18,7313124392.44
2022-04-19,7225614075.67
2022-04-20,7637752417.83
2022-04-21,7696312705.74
2022-04-22,7251681784.00
2022-04-23,8224093820.37
2022-04-24,8842433319.95
2022-04-25,8886273778.59
2022-04-26,9056939465.15
2022-04-27,7811322892.41
2022-04-28,8206498358.71
2022-04-29,7904476305.98
2022-04-30,7377920696.83
2022-05-01,6618194023.95
2022-05-02,6848702004.54
2022-05-03,6960847272.06
2022-05-04,7123622476.59
2022-05-05,8600004026.50
2022-05-06,8123536792.73
2022-05-07,7599943164.56
2022-05-08,7376406436.94
2022-05-09,7752465000.50
2022-05-10,6378050164.41
2022-05-11,6554757603.12
2022-05-12,4866944486.09
2022-05-13,4328953593.48
2022-05-14,4342711451.02
2022-05-15,4696443096.93
2022-05-16,4970790071.40
2022-05-17,4504828586.88
2022-05-18,4602197625.59
2022-05-19,4049803986.09
2022-05-20,3537457344.79
2022-05-21,3750545747.61
2022-05-22,4019772612.66
2022-05-23,4225990858.46
2022-05-24,4291210362.88
2022-05-25,4144358306.68
2022-05-26,4068319106.07
2022-05-27,4002429898.21
2022-05-28,3864746930.85
2022-05-29,4041783410.92
2022-05-30,4142718145.64
2022-05-31,4570411322.31
2022-06-01,4577857202.40
2022-06-02,4201627805.35
2022-06-03,4145322858.87
2022-06-04,3874795555.37
2022-06-05,3892834619.33
2022-06-06,3997417305.62
2022-06-07,4250235518.31
2022-06-08,3939449733.25
2022-06-09,3827755664.59
2022-06-10,3795256828.02
2022-06-11,3391185738.50
2022-06-12,2990841203.82
2022-06-13,2856571663.04
2022-06-14,2340471851.09
2022-06-15,2420738155.23
2022-06-16,2529037724.45
2022-06-17,2186621879.49
2022-06-18,2185949887.82
2022-06-19,1928916582.11
2022-06-20,2135135283.69
2022-06-21,2323537995.15
2022-06-22,2393878940.18
2022-06-23,2310511664.60
2022-06-24,2750386470.52
2022-06-25,2821802582.45
2022-06-26,2709885639.79
2022-06-27,2505065900.76
2022-06-28,2427303942.99
2022-06-29,2298308722.95
2022-06-30,2321421865.98
2022-07-01,2208834848.02
2022-07-02,2480536217.78
2022-07-03,2565229777.31
2022-07-04,2625562771.58
2022-07-05,2855158335.84
2022-07-06,3170830692.89
2022-07-07,3170053064.63
2022-07-08,3473707344.31
2022-07-09,3371644380.64
2022-07-10,3361708502.56
2022-07-11,3150069709.96
2022-07-12,2940956226.93
2022-07-13,2905497294.71
2022-07-14,3477807939.71
2022-07-15,3892503511.47
2022-07-16,3659228544.71
2022-07-17,3881222312.06
2022-07-18,3575952781.71
2022-07-19,4426083071.07
2022-07-20,4105928818.09
2022-07-21,3821142916.86
2022-07-22,4627869029.85
2022-07-23,4755363229.00
2022-07-24,4617074833.53
2022-07-25,4554250899.45
2022-07-26,3917283380.66
2022-07-27,3831192456.06
2022-07-28,4387472965.19
2022-07-29,5078604913.51
2022-07-30,4749283006.89
2022-07-31,4479300292.73
2022-08-01,4365964133.75
2022-08-02,4317996635.96
2022-08-03,4448608446.40
2022-08-04,4406619553.15
2022-08-05,4406481790.59
2022-08-06,4738613614.18
2022-08-07,4542937023.53
2022-08-08,4611320890.16
2022-08-09,4708009543.42
2022-08-10,4265990425.73
2022-08-11,4573203550.47
2022-08-12,4497188807.85
2022-08-13,4677886318.83
2022-08-14,4734672188.17
2022-08-15,4585282679.45
2022-08-16,4411254321.89
2022-08-17,4260090998.91
2022-08-18,3895712195.33
2022-08-19,3687704455.34
2022-08-20,3482939070.07
2022-08-21,3304495637.89
2022-08-22,3406963252.56
2022-08-23,3638362926.43
2022-08-24,3916313829.81
2022-08-25,3895362828.68
2022-08-26,3898777676.11
2022-08-27,3475308482.20
2022-08-28,3467860242.83
2022-08-29,3296955573.44
2022-08-30,3570408872.80
2022-08-31,3508270999.87
2022-09-01,3790345732.96
2022-09-02,3822085971.11
2022-09-03,3600382296.25
2022-09-04,3534675723.58
2022-09-05,3597086199.07
2022-09-06,3787554113.92
2022-09-07,3426620306.58
2022-09-08,3855458372.75
2022-09-09,3728420317.37
2022-09-10,3976763281.69
2022-09-11,4115567948.98
2022-09-12,3899651613.90
2022-09-13,3759464722.65
2022-09-14,3482174900.21
2022-09-15,3538824378.49
2022-09-16,3469194944.07
2022-09-17,3476575898.25
2022-09-18,3575590321.88
2022-09-19,3115957692.26
2022-09-20,3250079566.28
2022-09-21,3120965003.30
2022-09-22,2848067288.58
2022-09-23,3032173920.07
2022-09-24,3119995719.60
2022-09-25,3038480881.81
2022-09-26,2942344061.08
2022-09-27,3065438287.20
2022-09-28,3026009242.47
2022-09-29,3105662131.43
2022-09-30,3062986418.52
2022-10-01,3029153108.61
2022-10-02,2950261708.05
2022-10-03,2842424667.24
2022-10-04,2968617415.79
2022-10-05,3015089072.35
2022-10-06,2988639783.34
2022-10-07,2941277728.08
2022-10-08,2924067638.57
2022-10-09,2914226201.84
2022-10-10,2914748650.28
2022-10-11,2818594304.71
2022-10-12,2703054754.82
2022-10-13,2714344243.81
2022-10-14,2648388138.18
2022-10-15,2684881129.66
2022-10-16,2663390110.82
2022-10-17,2698589880.95
2022-10-18,2941303792.23
2022-10-19,3013324353.50
2022-10-20,2810843896.91
2022-10-21,2803069422.49
2022-10-22,2953234223.42
2022-10-23,2899593738.39
2022-10-24,3039605840.95
2022-10-25,2892382357.64
2022-10-26,3013179257.39
2022-10-27,3088402593.71
2022-10-28,3013200752.79
2022-10-29,3120857349.85
2022-10-30,3081085783.37
2022-10-31,2997466421.16
2022-11-01,2922812343.91
2022-11-02,2947456336.85
2022-11-03,2856405231.36
2022-11-04,2976779276.15
2022-11-05,3380196734.35
